family,instance_name,relative_path,time_limit_seconds,best_known_solution,is_optimal,script_name
Homberger,C1_10_1,Instances/Homberger/C1_10_1.txt,7200,42444.8,False,genScript2.sh
Homberger,C1_10_10,Instances/Homberger/C1_10_10.txt,7200,39874.5,False,genScript2.sh
Homberger,C1_10_2,Instances/Homberger/C1_10_2.txt,7200,41392.7,False,genScript2.sh
Homberger,C1_10_3,Instances/Homberger/C1_10_3.txt,7200,40146.2,False,genScript2.sh
Homberger,C1_10_4,Instances/Homberger/C1_10_4.txt,7200,39490.9,False,genScript2.sh
Homberger,C1_10_5,Instances/Homberger/C1_10_5.txt,7200,42434.8,False,genScript3.sh
Homberger,C1_10_6,Instances/Homberger/C1_10_6.txt,7200,42437.0,False,genScript3.sh
Homberger,C1_10_7,Instances/Homberger/C1_10_7.txt,7200,42420.4,False,genScript3.sh
Homberger,C1_10_8,Instances/Homberger/C1_10_8.txt,7200,41837.8,False,genScript3.sh
Homberger,C1_10_9,Instances/Homberger/C1_10_9.txt,7200,40366.7,False,genScript3.sh
Homberger,C1_2_1,Instances/Homberger/C1_2_1.txt,1800,2698.6,True,genScript1.sh
Homberger,C1_2_10,Instances/Homberger/C1_2_10.txt,1800,2624.7,True,genScript1.sh
Homberger,C1_2_2,Instances/Homberger/C1_2_2.txt,1800,2694.3,True,genScript1.sh
Homberger,C1_2_3,Instances/Homberger/C1_2_3.txt,1800,2675.8,True,genScript1.sh
Homberger,C1_2_4,Instances/Homberger/C1_2_4.txt,1800,2625.6,True,genScript1.sh
Homberger,C1_2_5,Instances/Homberger/C1_2_5.txt,1800,2694.9,True,genScript1.sh
Homberger,C1_2_6,Instances/Homberger/C1_2_6.txt,1800,2694.9,True,genScript1.sh
Homberger,C1_2_7,Instances/Homberger/C1_2_7.txt,1800,2694.9,True,genScript1.sh
Homberger,C1_2_8,Instances/Homberger/C1_2_8.txt,1800,2684.0,True,genScript1.sh
Homberger,C1_2_9,Instances/Homberger/C1_2_9.txt,1800,2639.6,True,genScript1.sh
Homberger,C1_4_1,Instances/Homberger/C1_4_1.txt,3600,7138.8,True,genScript1.sh
Homberger,C1_4_10,Instances/Homberger/C1_4_10.txt,3600,6825.4,True,genScript1.sh
Homberger,C1_4_2,Instances/Homberger/C1_4_2.txt,3600,7113.3,True,genScript1.sh
Homberger,C1_4_3,Instances/Homberger/C1_4_3.txt,3600,6929.9,True,genScript1.sh
Homberger,C1_4_4,Instances/Homberger/C1_4_4.txt,3600,6777.7,True,genScript1.sh
Homberger,C1_4_5,Instances/Homberger/C1_4_5.txt,3600,7138.8,True,genScript1.sh
Homberger,C1_4_6,Instances/Homberger/C1_4_6.txt,3600,7140.1,True,genScript1.sh
Homberger,C1_4_7,Instances/Homberger/C1_4_7.txt,3600,7136.2,True,genScript1.sh
Homberger,C1_4_8,Instances/Homberger/C1_4_8.txt,3600,7083.0,True,genScript1.sh
Homberger,C1_4_9,Instances/Homberger/C1_4_9.txt,3600,6927.8,True,genScript1.sh
Homberger,C1_6_1,Instances/Homberger/C1_6_1.txt,3600,14076.6,False,genScript1.sh
Homberger,C1_6_10,Instances/Homberger/C1_6_10.txt,3600,13636.5,False,genScript1.sh
Homberger,C1_6_2,Instances/Homberger/C1_6_2.txt,3600,13948.3,False,genScript1.sh
Homberger,C1_6_3,Instances/Homberger/C1_6_3.txt,3600,13757.0,False,genScript1.sh
Homberger,C1_6_4,Instances/Homberger/C1_6_4.txt,3600,13572.2,False,genScript1.sh
Homberger,C1_6_5,Instances/Homberger/C1_6_5.txt,3600,14066.8,False,genScript1.sh
Homberger,C1_6_6,Instances/Homberger/C1_6_6.txt,3600,14070.9,False,genScript1.sh
Homberger,C1_6_7,Instances/Homberger/C1_6_7.txt,3600,14066.8,False,genScript1.sh
Homberger,C1_6_8,Instances/Homberger/C1_6_8.txt,3600,13991.2,False,genScript1.sh
Homberger,C1_6_9,Instances/Homberger/C1_6_9.txt,3600,13701.5,False,genScript1.sh
Homberger,C1_8_1,Instances/Homberger/C1_8_1.txt,3600,25156.9,False,genScript2.sh
Homberger,C1_8_10,Instances/Homberger/C1_8_10.txt,3600,24030.4,False,genScript2.sh
Homberger,C1_8_2,Instances/Homberger/C1_8_2.txt,3600,24974.1,False,genScript2.sh
Homberger,C1_8_3,Instances/Homberger/C1_8_3.txt,3600,24198.9,False,genScript2.sh
Homberger,C1_8_4,Instances/Homberger/C1_8_4.txt,3600,23812.7,False,genScript2.sh
Homberger,C1_8_5,Instances/Homberger/C1_8_5.txt,3600,25138.6,False,genScript2.sh
Homberger,C1_8_6,Instances/Homberger/C1_8_6.txt,3600,25133.3,False,genScript2.sh
Homberger,C1_8_7,Instances/Homberger/C1_8_7.txt,3600,25127.3,False,genScript2.sh
Homberger,C1_8_8,Instances/Homberger/C1_8_8.txt,3600,24882.5,False,genScript2.sh
Homberger,C1_8_9,Instances/Homberger/C1_8_9.txt,3600,24200.4,False,genScript2.sh
Homberger,C2_10_1,Instances/Homberger/C2_10_1.txt,7200,16841.1,False,genScript3.sh
Homberger,C2_10_10,Instances/Homberger/C2_10_10.txt,7200,15728.6,False,genScript3.sh
Homberger,C2_10_2,Instances/Homberger/C2_10_2.txt,7200,16462.6,False,genScript3.sh
Homberger,C2_10_3,Instances/Homberger/C2_10_3.txt,7200,16036.5,False,genScript3.sh
Homberger,C2_10_4,Instances/Homberger/C2_10_4.txt,7200,15482.9,False,genScript3.sh
Homberger,C2_10_5,Instances/Homberger/C2_10_5.txt,7200,16521.3,False,genScript3.sh
Homberger,C2_10_6,Instances/Homberger/C2_10_6.txt,7200,16290.7,False,genScript3.sh
Homberger,C2_10_7,Instances/Homberger/C2_10_7.txt,7200,16378.4,False,genScript3.sh
Homberger,C2_10_8,Instances/Homberger/C2_10_8.txt,7200,16029.1,False,genScript3.sh
Homberger,C2_10_9,Instances/Homberger/C2_10_9.txt,7200,16077.0,False,genScript3.sh
Homberger,C2_2_1,Instances/Homberger/C2_2_1.txt,1800,1922.1,True,genScript1.sh
Homberger,C2_2_10,Instances/Homberger/C2_2_10.txt,1800,1791.2,True,genScript1.sh
Homberger,C2_2_2,Instances/Homberger/C2_2_2.txt,1800,1851.4,True,genScript1.sh
Homberger,C2_2_3,Instances/Homberger/C2_2_3.txt,1800,1763.4,True,genScript1.sh
Homberger,C2_2_4,Instances/Homberger/C2_2_4.txt,1800,1695.0,False,genScript1.sh
Homberger,C2_2_5,Instances/Homberger/C2_2_5.txt,1800,1869.6,True,genScript1.sh
Homberger,C2_2_6,Instances/Homberger/C2_2_6.txt,1800,1844.8,True,genScript1.sh
Homberger,C2_2_7,Instances/Homberger/C2_2_7.txt,1800,1842.2,True,genScript1.sh
Homberger,C2_2_8,Instances/Homberger/C2_2_8.txt,1800,1813.7,True,genScript1.sh
Homberger,C2_2_9,Instances/Homberger/C2_2_9.txt,1800,1815.0,True,genScript1.sh
Homberger,C2_4_1,Instances/Homberger/C2_4_1.txt,3600,4100.3,True,genScript1.sh
Homberger,C2_4_10,Instances/Homberger/C2_4_10.txt,3600,3665.1,True,genScript1.sh
Homberger,C2_4_2,Instances/Homberger/C2_4_2.txt,3600,3914.1,True,genScript1.sh
Homberger,C2_4_3,Instances/Homberger/C2_4_3.txt,3600,3755.2,False,genScript1.sh
Homberger,C2_4_4,Instances/Homberger/C2_4_4.txt,3600,3523.7,False,genScript1.sh
Homberger,C2_4_5,Instances/Homberger/C2_4_5.txt,3600,3923.2,True,genScript1.sh
Homberger,C2_4_6,Instances/Homberger/C2_4_6.txt,3600,3860.1,True,genScript1.sh
Homberger,C2_4_7,Instances/Homberger/C2_4_7.txt,3600,3870.9,True,genScript1.sh
Homberger,C2_4_8,Instances/Homberger/C2_4_8.txt,3600,3773.7,True,genScript1.sh
Homberger,C2_4_9,Instances/Homberger/C2_4_9.txt,3600,3842.1,False,genScript1.sh
Homberger,C2_6_1,Instances/Homberger/C2_6_1.txt,3600,7752.2,False,genScript1.sh
Homberger,C2_6_10,Instances/Homberger/C2_6_10.txt,3600,7123.9,False,genScript1.sh
Homberger,C2_6_2,Instances/Homberger/C2_6_2.txt,3600,7471.5,False,genScript1.sh
Homberger,C2_6_3,Instances/Homberger/C2_6_3.txt,3600,7215.0,False,genScript1.sh
Homberger,C2_6_4,Instances/Homberger/C2_6_4.txt,3600,6877.8,False,genScript1.sh
Homberger,C2_6_5,Instances/Homberger/C2_6_5.txt,3600,7553.8,False,genScript1.sh
Homberger,C2_6_6,Instances/Homberger/C2_6_6.txt,3600,7449.8,False,genScript1.sh
Homberger,C2_6_7,Instances/Homberger/C2_6_7.txt,3600,7491.4,False,genScript1.sh
Homberger,C2_6_8,Instances/Homberger/C2_6_8.txt,3600,7303.7,False,genScript1.sh
Homberger,C2_6_9,Instances/Homberger/C2_6_9.txt,3600,7303.2,False,genScript1.sh
Homberger,C2_8_1,Instances/Homberger/C2_8_1.txt,3600,11631.9,False,genScript2.sh
Homberger,C2_8_10,Instances/Homberger/C2_8_10.txt,3600,10946.0,False,genScript2.sh
Homberger,C2_8_2,Instances/Homberger/C2_8_2.txt,3600,11394.5,False,genScript2.sh
Homberger,C2_8_3,Instances/Homberger/C2_8_3.txt,3600,11138.1,False,genScript2.sh
Homberger,C2_8_4,Instances/Homberger/C2_8_4.txt,3600,10682.8,False,genScript2.sh
Homberger,C2_8_5,Instances/Homberger/C2_8_5.txt,3600,11395.6,False,genScript2.sh
Homberger,C2_8_6,Instances/Homberger/C2_8_6.txt,3600,11316.3,False,genScript2.sh
Homberger,C2_8_7,Instances/Homberger/C2_8_7.txt,3600,11332.9,False,genScript2.sh
Homberger,C2_8_8,Instances/Homberger/C2_8_8.txt,3600,11133.9,False,genScript2.sh
Homberger,C2_8_9,Instances/Homberger/C2_8_9.txt,3600,11140.4,False,genScript2.sh
Homberger,R1_10_1,Instances/Homberger/R1_10_1.txt,7200,53233.9,False,genScript3.sh
Homberger,R1_10_10,Instances/Homberger/R1_10_10.txt,7200,47570.6,False,genScript3.sh
Homberger,R1_10_2,Instances/Homberger/R1_10_2.txt,7200,48369.1,False,genScript3.sh
Homberger,R1_10_3,Instances/Homberger/R1_10_3.txt,7200,44862.4,False,genScript3.sh
Homberger,R1_10_4,Instances/Homberger/R1_10_4.txt,7200,42577.9,False,genScript3.sh
Homberger,R1_10_5,Instances/Homberger/R1_10_5.txt,7200,50487.8,False,genScript3.sh
Homberger,R1_10_6,Instances/Homberger/R1_10_6.txt,7200,47145.8,False,genScript3.sh
Homberger,R1_10_7,Instances/Homberger/R1_10_7.txt,7200,44231.4,False,genScript3.sh
Homberger,R1_10_8,Instances/Homberger/R1_10_8.txt,7200,42435.9,False,genScript3.sh
Homberger,R1_10_9,Instances/Homberger/R1_10_9.txt,7200,49334.3,False,genScript3.sh
Homberger,R1_2_1,Instances/Homberger/R1_2_1.txt,1800,4667.2,True,genScript1.sh
Homberger,R1_2_10,Instances/Homberger/R1_2_10.txt,1800,3293.1,True,genScript1.sh
